year,count,percent
2012,3,0.0017595307917888563
2013,3,0.0017595307917888563
2014,5,0.002932551319648094
2015,36,0.021114369501466276
2016,79,0.04633431085043988
2017,147,0.08621700879765395
2018,366,0.21466275659824047
2019,338,0.19824046920821115
2020,728,0.4269794721407625
