year,percent
2012,0.006896551724137931
2013,0.0031185031185031187
2014,0.005500550055005501
2015,0.02288620470438652
2016,0.008944746376811594
2017,0.01541526845637584
2018,0.017966717392371507
2019,0.012775446951657407
2020,0.01288404360753221
